ISO3,Country,Year,Scenario_file,Scenario_key,MAX_FACTOR_used,MAX_WS_used,Aqueduct_total_cm_per_yr,Aqueduct_avail_cm_per_yr,Raw_total_cm_per_yr,Scaled_total_cm_per_yr,Scale_applied,Scale_reason,Allowed_max_cm_per_yr,Area_km2_Crops,Raw_withdrawal_cm_per_yr_Crops,Scaled_withdrawal_cm_per_yr_Crops,Area_km2_TreeCrops,Raw_withdrawal_cm_per_yr_TreeCrops,Scaled_withdrawal_cm_per_yr_TreeCrops,Area_km2_Forest,Raw_withdrawal_cm_per_yr_Forest,Scaled_withdrawal_cm_per_yr_Forest,Area_km2_Grassland,Raw_withdrawal_cm_per_yr_Grassland,Scaled_withdrawal_cm_per_yr_Grassland,Area_km2_Urban,Raw_withdrawal_cm_per_yr_Urban,Scaled_withdrawal_cm_per_yr_Urban,Area_km2_Water,Raw_withdrawal_cm_per_yr_Water,Scaled_withdrawal_cm_per_yr_Water,Area_km2_Other,Raw_withdrawal_cm_per_yr_Other,Scaled_withdrawal_cm_per_yr_Other
DNK,DNK,2022,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.747482929392886,8.747482929392886,False,raw <= allowed_max -> no scaling,11.4173022336,24305.173329,1.5239343677283002,1.5239343677283002,5.275719,0.178820099826075,0.178820099826075,6436.081051,0.08753070229360001,0.08753070229360001,5916.477435,0.42066154562849994,0.42066154562849994,2323.582677,5.798484305374761,5.798484305374761,788.0,0.0,0.0,127.409789,0.7380519085416489,0.7380519085416489
DNK,DNK,2023,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.776972498938164,8.776972498938164,False,raw <= allowed_max -> no scaling,11.4173022336,24231.646652,1.5193242450804,1.5193242450804,5.41081,0.18339899913924998,0.18339899913924998,6455.336485,0.087792576196,0.087792576196,5963.08975,0.42397568122499996,0.42397568122499996,2328.932246,5.811834117367278,5.811834117367278,788.0,0.0,0.0,129.584057,0.7506468799302369,0.7506468799302369
DNK,DNK,2024,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.806346531570885,8.806346531570885,False,raw <= allowed_max -> no scaling,11.4173022336,24159.95692,1.5148292988840002,1.5148292988840002,5.544088,0.1879164469534,0.1879164469534,6474.712367,0.0880560881912,0.0880560881912,6007.731843,0.42714973403729994,0.42714973403729994,2334.316885,5.825271446299306,5.825271446299306,788.0,0.0,0.0,131.737897,0.763123517205677,0.763123517205677
DNK,DNK,2025,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.835600742986887,8.835600742986887,False,raw <= allowed_max -> no scaling,11.4173022336,24090.041679,1.5104456132733002,1.5104456132733002,5.675573,0.19237312116702499,0.19237312116702499,6494.192622,0.0883210196592,0.0883210196592,6050.484875,0.43018947461249996,0.43018947461249996,2339.733936,5.838789659150448,5.838789659150448,788.0,0.0,0.0,133.871315,0.775481855124415,0.775481855124415
DNK,DNK,2026,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.815951567994817,8.815951567994817,False,raw <= allowed_max -> no scaling,11.4173022336,24044.724256315883,1.507604210871006,1.507604210871006,5.79553487450222,0.19643921990613716,0.19643921990613716,6526.816995185679,0.08876471113452523,0.08876471113452523,6064.936879247039,0.4312170121144644,0.4312170121144644,2343.209871976898,5.847463833049245,5.847463833049245,788.0,0.0,0.0,128.51646240000002,0.7444625809194385,0.7444625809194385
DNK,DNK,2027,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.796302393002742,8.796302393002742,False,raw <= allowed_max -> no scaling,11.4173022336,23999.406833631765,1.504762808468712,1.504762808468712,5.91549674900444,0.20050531864524931,0.20050531864524931,6559.441368371358,0.08920840260985047,0.08920840260985047,6079.388883494077,0.43224454961642883,0.43224454961642883,2346.685807953795,5.85613800694804,5.85613800694804,788.0,0.0,0.0,123.1616098,0.7134433067144618,0.7134433067144618
DNK,DNK,2028,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.77665321801067,8.77665321801067,False,raw <= allowed_max -> no scaling,11.4173022336,23954.089410947647,1.5019214060664177,1.5019214060664177,6.03545862350666,0.20457141738436146,0.20457141738436146,6592.065741557038,0.08965209408517572,0.08965209408517572,6093.840887741116,0.43327208711839327,0.43327208711839327,2350.161743930693,5.864812180846837,5.864812180846837,788.0,0.0,0.0,117.8067572,0.6824240325094852,0.6824240325094852
DNK,DNK,2029,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.757004043018597,8.757004043018597,False,raw <= allowed_max -> no scaling,11.4173022336,23908.77198826353,1.4990800036641234,1.4990800036641234,6.15542049800888,0.20863751612347362,0.20863751612347362,6624.690114742717,0.09009578556050095,0.09009578556050095,6108.292891988154,0.4342996246203577,0.4342996246203577,2353.6376799075906,5.8734863547456335,5.8734863547456335,788.0,0.0,0.0,112.4519046,0.6514047583045086,0.6514047583045086
DNK,DNK,2030,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.737354868026525,8.737354868026525,False,raw <= allowed_max -> no scaling,11.4173022336,23863.454565579414,1.4962386012618294,1.4962386012618294,6.2753823725111,0.2127036148625858,0.2127036148625858,6657.314487928397,0.09053947703582621,0.09053947703582621,6122.744896235194,0.43532716212232225,0.43532716212232225,2357.1136158844884,5.882160528644429,5.882160528644429,788.0,0.0,0.0,107.097052,0.620385484099532,0.620385484099532
DNK,DNK,2031,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.717705693034452,8.717705693034452,False,raw <= allowed_max -> no scaling,11.4173022336,23818.13714289529,1.493397198859535,1.493397198859535,6.39534424701332,0.21676971360169794,0.21676971360169794,6689.938861114077,0.09098316851115144,0.09098316851115144,6137.196900482232,0.4363546996242867,0.4363546996242867,2360.5895518613856,5.890834702543225,5.890834702543225,788.0,0.0,0.0,101.7421994,0.5893662098945553,0.5893662098945553
DNK,DNK,2032,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.69805651804238,8.69805651804238,False,raw <= allowed_max -> no scaling,11.4173022336,23772.819720211177,1.490555796457241,1.490555796457241,6.515306121515541,0.22083581234081012,0.22083581234081012,6722.563234299756,0.09142685998647668,0.09142685998647668,6151.648904729271,0.4373822371262511,0.4373822371262511,2364.0654878382834,5.899508876442021,5.899508876442021,788.0,0.0,0.0,96.3873468,0.5583469356895788,0.5583469356895788
DNK,DNK,2033,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.678407343050306,8.678407343050306,False,raw <= allowed_max -> no scaling,11.4173022336,23727.50229752706,1.4877143940549467,1.4877143940549467,6.6352679960177605,0.2249019110799223,0.2249019110799223,6755.187607485435,0.09187055146180192,0.09187055146180192,6166.100908976309,0.43840977462821556,0.43840977462821556,2367.541423815181,5.908183050340818,5.908183050340818,788.0,0.0,0.0,91.0324942,0.5273276614846022,0.5273276614846022
DNK,DNK,2034,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.658758168058235,8.658758168058235,False,raw <= allowed_max -> no scaling,11.4173022336,23682.18487484294,1.4848729916526524,1.4848729916526524,6.7552298705199805,0.22896800981903445,0.22896800981903445,6787.811980671115,0.09231424293712716,0.09231424293712716,6180.552913223348,0.43943731213018,0.43943731213018,2371.0173597920784,5.916857224239614,5.916857224239614,788.0,0.0,0.0,85.67764160000002,0.4963083872796257,0.4963083872796257
DNK,DNK,2035,ALL_COUNTRIES_afforest_annual_projections_2020_2050.csv,afforest,1.2,0.96,9.514418528,235.28784332,8.639108993066161,8.639108993066161,False,raw <= allowed_max -> no scaling,11.4173022336,23636.867452158825,1.4820315892503586,1.4820315892503586,6.8751917450222,0.2330341085581466,0.2330341085581466,6820.436353856794,0.0927579344124524,0.0927579344124524,6195.004917470386,0.44046484963214444,0.44046484963214444,2374.493295768976,5.92553139813841,5.92553139813841,788.0,0.0,0.0,80.322789,0.465289113074649,0.465289113074649
